Accession	STD Annot.	Curated Loc.
AT1G75350.1	Ribosomal protein L31	plastid ribosome
AT1G75380.1	bifunctional nuclease in basal defense response 1	plastid
AT1G75380.2	bifunctional nuclease in basal defense response 1	plastid
AT1G75380.3	bifunctional nuclease in basal defense response 1	plastid
AT1G75460.1	ATP-dependent protease La (LON) domain protein	plastid
AT1G75690.1	DnaJ/Hsp40 cysteine-rich domain superfamily protein	plastid
AT1G76080.1	chloroplastic drought-induced stress protein of 32 kD	plastid stroma
AT1G76100.1	plastocyanin 1	thylakoid-peripheral-lumenal-side
AT1G76405.1	outer envelope pore 21B-like protein	envelope-outer
AT1G76405.2	outer envelope pore 21B-like protein	envelope-outer
AT1G76450.1	Photosystem II reaction center PsbP family protein	thylakoid-peripheral-lumenal-side
AT1G76570.1	Chlorophyll A-B binding family protein	thylakoid-integral
AT1G76730.1	NagB/RpiA/CoA transferase-like superfamily protein	plastid stroma
AT1G76760.1	thioredoxin Y1	plastid stroma
AT1G77060.1	Phosphoenolpyruvate carboxylase family protein	plastid stroma
AT1G77090.1	thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)	thylakoid-peripheral-lumenal-side
AT1G77122.1	Uncharacterized protein family UPF0090	plastid
AT1G77490.1	thylakoidal ascorbate peroxidase	thylakoid-integral
AT1G77590.1	long chain acyl-CoA synthetase 9	envelope-outer
AT1G78010.1	tRNA modification GTPase	plastid
AT1G78140.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	plastoglobules
AT1G78390.1	nine-cis-epoxycarotenoid dioxygenase 9	plastid
AT1G78510.1	solanesyl diphosphate synthase 1	plastid stroma
AT1G78510.2	solanesyl diphosphate synthase 1	plastid stroma
AT1G78560.1	Sodium Bile acid symporter family	envelope
AT1G78620.1	integral membrane protein (Protein of unknown function DUF92%2C transmembrane)	envelope-inner-integral
AT1G78620.2	integral membrane protein (Protein of unknown function DUF92%2C transmembrane)	envelope-inner-integral
AT1G78630.1	Ribosomal protein L13 family protein	plastid ribosome
AT1G78915.1	Tetratricopeptide repeat (TPR)-like superfamily protein	thylakoid
AT1G78915.2	Tetratricopeptide repeat (TPR)-like superfamily protein	thylakoid
AT1G78915.3	Tetratricopeptide repeat (TPR)-like superfamily protein	thylakoid
AT1G78930.1	Mitochondrial transcription termination factor family protein	plastid
AT1G79040.1	photosystem II subunit R	thylakoid-integral
AT1G79050.1	recA DNA recombination family protein	plastid stroma
AT1G79050.2	recA DNA recombination family protein	plastid stroma
AT1G79080.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT1G79530.1	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	plastid stroma
AT1G79560.1	FTSH protease 12	envelope
AT1G79600.1	Protein kinase superfamily protein	plastoglobules
AT1G79750.1	NADP-malic enzyme 4	plastid
AT1G79790.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT1G79790.2	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT1G79850.1	ribosomal protein S17	plastid ribosome
AT1G80030.1	Molecular chaperone Hsp40/DnaJ family protein	thylakoid
AT1G80030.2	Molecular chaperone Hsp40/DnaJ family protein	thylakoid
AT1G80030.3	Molecular chaperone Hsp40/DnaJ family protein	thylakoid
AT1G80300.1	nucleotide transporter 1	envelope-inner-integral
AT1G80380.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT1G80380.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT1G80380.3	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT1G80380.4	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT1G80480.1	plastid transcriptionally active 17	plastid stroma
AT1G80560.1	isopropylmalate dehydrogenase 2	plastid stroma
AT1G80600.1	HOPW1-1-interacting 1	plastid stroma
AT1G80770.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT1G80770.2	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid
AT1G80920.1	Chaperone DnaJ-domain superfamily protein	plastid stroma
AT2G01110.1	Sec-independent periplasmic protein translocase	thylakoid-integral
AT2G01140.1	Aldolase superfamily protein	plastid stroma
AT2G01320.1	ABC-2 type transporter family protein	envelope
AT2G01320.2	ABC-2 type transporter family protein	envelope
AT2G01320.3	ABC-2 type transporter family protein	envelope
AT2G01320.4	ABC-2 type transporter family protein	envelope
AT2G01590.1	chlororespiratory reduction 3	thylakoid
AT2G01670.1	nudix hydrolase homolog 17	plastid
AT2G01755.1	hypothetical protein	plastid stroma
AT2G01870.1	transmembrane protein	plastid
AT2G01918.1	PsbQ-like 3	thylakoid-peripheral-lumenal-side
AT2G02500.1	Nucleotide-diphospho-sugar transferases superfamily protein	plastid stroma
AT2G02590.1	small multi-drug export protein	envelope
AT2G02740.1	ssDNA-binding transcriptional regulator	plastid nucleoid
AT2G02740.2	"Encodes a homolog of the potato p24 protein.  It shares the conserved KGKAAL domain, a putative DNA-binding domain, with potato p24 and is localized to the plastid and not the nucleus."	plastid nucleoid
AT2G02980.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT2G03050.1	Mitochondrial transcription termination factor family protein	plastid
AT2G03140.1	alpha/beta-Hydrolases superfamily protein	plastid
AT2G03140.2	alpha/beta-Hydrolases superfamily protein	plastid
AT2G03390.1	uvrB/uvrC motif-containing protein	plastid stroma
AT2G03390.2	uvrB/uvrC motif-containing protein	plastid stroma
AT2G04030.1	Chaperone protein htpG family protein	plastid stroma
AT2G04030.2	Chaperone protein htpG family protein	plastid stroma
AT2G04039.1	DUF2996 family protein	thylakoid
AT2G04039.2	DUF2996 family protein	plastid
AT2G04039.3	DUF2996 family protein	plastid nucleoid
AT2G04270.1	RNAse E/G-like protein	plastid stroma
AT2G04270.2	RNAse E/G-like protein	plastid stroma
AT2G04270.3	RNAse E/G-like protein	plastid stroma
AT2G04270.4	RNAse E/G-like protein	plastid stroma
AT2G04270.5	RNAse E/G-like protein	plastid stroma
AT2G04400.1	Aldolase-type TIM barrel family protein	plastid stroma
AT2G04530.1	Metallo-hydrolase/oxidoreductase superfamily protein	plastid
AT2G04700.1	ferredoxin thioredoxin reductase catalytic beta chain family protein	plastid stroma
AT2G04842.1	threonyl-tRNA synthetase%2C putative / threonine-tRNA ligase	mitochondria; plastid stroma
AT2G05070.1	photosystem II light harvesting complex protein 2.2	thylakoid-integral
AT2G05100.1	photosystem II light harvesting complex protein 2.1	thylakoid-integral
AT2G05620.1	proton gradient regulation 5	thylakoid-peripheral-stromal-side
AT2G05990.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT2G05990.2	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT2G06520.1	photosystem II subunit X	thylakoid-integral
AT2G10940.1	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	plastid
AT2G10940.2	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	plastid
AT2G11810.1	monogalactosyldiacylglycerol synthase type C	envelope-outer
AT2G11810.2	monogalactosyldiacylglycerol synthase type C	envelope-outer
AT2G14750.1	APS kinase	plastid stroma
AT2G14910.1	MAR-binding filament-like protein	plastid
AT2G14910.2	MAR-binding filament-like protein	plastid
AT2G15290.1	translocon at inner membrane of chloroplasts 21	envelope-inner-integral
AT2G15570.1	Thioredoxin superfamily protein	plastid
AT2G15570.2	Thioredoxin superfamily protein	plastid
AT2G15620.1	nitrite reductase 1	plastid stroma
AT2G15690.1	Tetratricopeptide repeat (TPR)-like superfamily protein	mitochondria; plastid
AT2G15820.1	endonuclease	plastid
AT2G16070.1	plastid division2	envelope-outer
AT2G16070.2	plastid division2	envelope-outer
AT2G16500.1	arginine decarboxylase 1	cytosol; plastid
AT2G16640.1	multimeric translocon complex in the outer envelope membrane 132	envelope-outer
AT2G16800.1	high-affinity nickel-transport family protein	plastid
AT2G17240.1	arginine/serine-rich-like splicing factor	plastid stroma
AT2G17265.1	homoserine kinase	plastid
AT2G17695.1	outer envelope protein	envelope
AT2G17695.2	outer envelope protein	envelope
AT2G17695.3	outer envelope protein	envelope
AT2G17730.1	NEP-interacting protein 2	thylakoid
AT2G17730.2	NEP-interacting protein 2	thylakoid
AT2G17750.1	NEP-interacting protein 1	thylakoid
AT2G17972.1	transmembrane protein	thylakoid
AT2G18710.1	SECY homolog 1	thylakoid-integral
AT2G18940.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid nucleoid
AT2G18950.1	homogentisate phytyltransferase 1	plastid
AT2G19490.1	recA DNA recombination family protein	mitochondria; plastid stroma
AT2G19870.1	tRNA/rRNA methyltransferase (SpoU) family protein	plastid nucleoid
AT2G19940.1	Putative N-acetyl-gamma-glutamyl-phosphate reductase	plastid stroma
AT2G19940.2	Putative N-acetyl-gamma-glutamyl-phosphate reductase	plastid stroma
AT2G20020.1	RNA-binding CRS1 / YhbY (CRM) domain-containing protein	plastid
AT2G20260.1	photosystem I subunit E-2	thylakoid-peripheral-stromal-side
AT2G20270.1	Thioredoxin superfamily protein	plastid stroma
AT2G20270.2	Thioredoxin superfamily protein	plastid stroma
AT2G20690.1	lumazine-binding family protein	plastid stroma
AT2G20725.1	CAAX amino terminal protease family protein	plastid
AT2G20890.1	photosystem II reaction center PSB29 protein	envelope-inner-peripheral-stromal-side; thylakoid-peripheral-stromal-side
AT2G20920.1	chaperone (DUF3353)	plastid
AT2G21170.1	triosephosphate isomerase	plastid stroma
AT2G21170.2	triosephosphate isomerase	plastid stroma
AT2G21280.1	NAD(P)-binding Rossmann-fold superfamily protein	envelope-inner-peripheral-stromal-side
AT2G21330.1	fructose-bisphosphate aldolase 1	plastid stroma
AT2G21330.2	fructose-bisphosphate aldolase 1	plastid stroma
AT2G21330.3	fructose-bisphosphate aldolase 1	plastid stroma
AT2G21340.1	MATE efflux family protein	envelope
AT2G21340.2	MATE efflux family protein	envelope
AT2G21370.1	xylulose kinase-1	plastid
AT2G21370.2	xylulose kinase-1	plastid
AT2G21385.1	hypothetical protein	mitochondria; plastid stroma
AT2G21385.2	hypothetical protein	mitochondria; plastid stroma
AT2G21385.3	hypothetical protein	mitochondria; plastid stroma
AT2G21385.4	hypothetical protein	mitochondria; plastid stroma
AT2G21530.1	SMAD/FHA domain-containing protein	plastid stroma; thylakoid-peripheral-stromal-side
AT2G21590.1	Glucose-1-phosphate adenylyltransferase family protein	plastid
AT2G21710.1	Mitochondrial transcription termination factor family protein	plastid
AT2G21860.1	violaxanthin de-epoxidase-like protein	plastid
AT2G21960.1	transmembrane protein	plastid
AT2G21970.1	stress enhanced protein 2	thylakoid-integral
AT2G22230.1	Thioesterase superfamily protein	plastid
AT2G22250.1	aspartate aminotransferase	plastid
AT2G22250.2	aspartate aminotransferase	plastid
AT2G22250.3	aspartate aminotransferase	plastid
AT2G22360.1	DNAJ heat shock family protein	thylakoid
AT2G22450.1	riboflavin biosynthesis protein	plastid
AT2G22480.1	phosphofructokinase 5	plastid stroma
AT2G22870.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	mitochondria; plastid
AT2G23070.1	Protein kinase superfamily protein	plastid
AT2G23390.1	acyl-CoA	plastid
AT2G23670.1	homolog of Synechocystis YCF37	thylakoid
AT2G24020.1	Putative BCR%2C YbaB family COG0718	plastid stroma
AT2G24020.2	Putative BCR%2C YbaB family COG0718	plastid stroma
AT2G24060.1	Translation initiation factor 3 protein	plastid
AT2G24090.1	Ribosomal protein L35	plastid ribosome
AT2G24120.1	DNA/RNA polymerases superfamily protein	plastid
AT2G24120.2	DNA/RNA polymerases superfamily protein	plastid
AT2G24820.1	translocon at the inner envelope membrane of chloroplasts 55-II	envelope-inner-integral
AT2G25080.1	glutathione peroxidase 1	plastid stroma
AT2G25660.1	embryo defective 2410	plastid
AT2G25830.1	YebC-like protein	plastid stroma
AT2G25840.1	Nucleotidylyl transferase superfamily protein	mitochondria; plastid stroma
AT2G25840.2	Nucleotidylyl transferase superfamily protein	mitochondria; plastid stroma
AT2G25840.3	Nucleotidylyl transferase superfamily protein	mitochondria; plastid stroma
AT2G25870.1	haloacid dehalogenase-like hydrolase family protein	plastid
AT2G26310.1	Chalcone-flavanone isomerase family protein	plastid
AT2G26340.1	hypothetical protein	thylakoid
AT2G26340.2	hypothetical protein	thylakoid
AT2G26500.1	cytochrome b6f complex subunit (petM)	thylakoid-integral
AT2G26500.2	cytochrome b6f complex subunit (petM)	thylakoid-integral
AT2G26500.3	cytochrome b6f complex subunit (petM)	thylakoid-integral
AT2G26540.1	uroporphyrinogen-III synthase family protein	plastid stroma
AT2G26550.1	heme oxygenase 2	plastid
AT2G26670.1	Plant heme oxygenase (decyclizing) family protein	plastid stroma
AT2G26670.2	Plant heme oxygenase (decyclizing) family protein	plastid stroma
AT2G26840.1	MutS2	plastid nucleoid
AT2G26900.1	Sodium Bile acid symporter family	envelope-inner-integral
AT2G26930.1	4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase	plastid
AT2G27290.1	FAM210B-like protein%2C putative (DUF1279)	plastid
AT2G27680.1	NAD(P)-linked oxidoreductase superfamily protein	plastid stroma
AT2G27820.1	prephenate dehydratase 1	plastid stroma
AT2G28000.1	chaperonin-60alpha	plastid stroma
AT2G28190.1	copper/zinc superoxide dismutase 2	plastid stroma; thylakoid-peripheral-stromal-side
AT2G28605.1	Photosystem II reaction center PsbP family protein	thylakoid-peripheral-lumenal-side
AT2G28800.1	63 kDa inner membrane family protein	thylakoid-integral
AT2G28800.2	63 kDa inner membrane family protein	thylakoid-integral
AT2G28800.3	63 kDa inner membrane family protein	thylakoid-integral
AT2G28800.4	63 kDa inner membrane family protein	thylakoid-integral
AT2G28900.1	outer plastid envelope protein 16-1	envelope-outer
AT2G29630.1	thiaminC	plastid stroma
AT2G29630.2	thiaminC	plastid stroma
AT2G29630.3	thiaminC	plastid stroma
AT2G29650.1	phosphate transporter 4%3B1	envelope-inner-integral; thylakoid-integral
AT2G29650.2	phosphate transporter 4%3B1	envelope-inner-integral; thylakoid-integral
AT2G29650.3	phosphate transporter 4%3B1	envelope-inner-integral; thylakoid-integral
AT2G29690.1	anthranilate synthase 2	plastid stroma
AT2G29760.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT2G30020.1	Protein phosphatase 2C family protein	plastid
AT2G30170.1	Protein phosphatase 2C family protein	plastid stroma
AT2G30170.2	Protein phosphatase 2C family protein	plastid stroma
AT2G30200.1	EMBRYO DEFECTIVE 3147	plastid stroma
AT2G30200.2	EMBRYO DEFECTIVE 3147	plastid stroma
AT2G30320.1	Pseudouridine synthase family protein	plastid
AT2G30390.1	ferrochelatase 2	plastid
AT2G30390.2	ferrochelatase 2	plastid
AT2G30440.1	thylakoid processing peptide	thylakoid-integral
AT2G30550.1	alpha/beta-Hydrolases superfamily protein	plastid
AT2G30550.2	alpha/beta-Hydrolases superfamily protein	plastid
AT2G30570.1	photosystem II reaction center W	thylakoid-integral
AT2G30695.1	bacterial trigger factor	plastid stroma
AT2G30695.2	bacterial trigger factor	plastid stroma
AT2G30790.1	photosystem II subunit P-2	thylakoid-peripheral-lumenal-side
AT2G30950.1	FtsH extracellular protease family	thylakoid-integral
AT2G31040.1	ATP synthase protein I-like protein	plastid
AT2G31170.1	Cysteinyl-tRNA synthetase%2C class Ia family protein	mitochondria; plastid stroma
AT2G31170.2	Cysteinyl-tRNA synthetase%2C class Ia family protein	mitochondria; plastid stroma
AT2G31270.1	CDT1-like protein A	nucleus; plastid
AT2G31400.1	s uncoupled 1	plastid
AT2G31450.1	DNA glycosylase superfamily protein	plastid nucleoid
AT2G31450.2	DNA glycosylase superfamily protein	plastid nucleoid
AT2G31530.1	SecY protein transport family protein	envelope-inner-integral
AT2G31670.1	Stress responsive alpha-beta barrel domain protein	plastid stroma
AT2G31690.1	alpha/beta-Hydrolases superfamily protein	plastid
AT2G31810.1	ACT domain-containing small subunit of acetolactate synthase protein	plastid
AT2G31810.2	ACT domain-containing small subunit of acetolactate synthase protein	plastid
AT2G31810.3	ACT domain-containing small subunit of acetolactate synthase protein	plastid
AT2G31840.1	Thioredoxin superfamily protein	plastid stroma
AT2G31890.1	RAP	plastid stroma
AT2G32040.1	Major facilitator superfamily protein	envelope
AT2G32180.1	plastid transcriptionally active 18	plastid nucleoid
AT2G32230.1	proteinaceous RNase P 1	mitochondria; plastid nucleoid
AT2G32480.1	chloroplastic membrane metallo proteases	envelope-inner
AT2G32480.2	chloroplastic membrane metallo proteases	envelope-inner
AT2G32640.1	Lycopene beta/epsilon cyclase protein	thylakoid
AT2G32640.2	Lycopene beta/epsilon cyclase protein	thylakoid
AT2G32650.1	RmlC-like cupins superfamily protein	plastid
AT2G32650.2	RmlC-like cupins superfamily protein	plastid
AT2G33270.1	atypical CYS HIS rich thioredoxin 3	plastid
AT2G33430.1	differentiation and greening-like 1 	plastid stroma
AT2G33450.1	Ribosomal L28 family	plastid ribosome
AT2G33740.1	Nitrogen regulatory PII-like%2C alpha/beta	envelope-inner
AT2G33740.2	Nitrogen regulatory PII-like%2C alpha/beta	envelope-inner
AT2G33800.1	Ribosomal protein S5 family protein	plastid ribosome
AT2G33980.1	nudix hydrolase homolog 22	plastid
AT2G34180.1	CBL-interacting protein kinase 13	plastid
AT2G34420.1	photosystem II light harvesting complex protein B1B2	thylakoid-integral
AT2G34430.1	light-harvesting chlorophyll-protein complex II subunit B1	thylakoid-integral
AT2G34460.1	NAD(P)-binding Rossmann-fold superfamily protein	plastoglobules
AT2G34590.1	Transketolase family protein	plastid
AT2G34620.1	Mitochondrial transcription termination factor family protein	plastid nucleoid
AT2G34640.1	plastid transcriptionally active 12	nucleus; plastid nucleoid
AT2G34860.1	DnaJ/Hsp40 cysteine-rich domain superfamily protein	thylakoid-peripheral-lumenal-side
AT2G34860.2	DnaJ/Hsp40 cysteine-rich domain superfamily protein	thylakoid-peripheral-lumenal-side
AT2G35010.1	thioredoxin O1	plastid
AT2G35010.2	thioredoxin O1	plastid
AT2G35040.1	AICARFT/IMPCHase bienzyme family protein	plastid stroma
AT2G35040.2	AICARFT/IMPCHase bienzyme family protein	plastid stroma
AT2G35130.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT2G35260.1	CAAX protease self-immunity protein	thylakoid-integral
AT2G35390.1	Phosphoribosyltransferase family protein	plastid
AT2G35390.2	Phosphoribosyltransferase family protein	plastid
AT2G35390.3	Phosphoribosyltransferase family protein	plastid
AT2G35410.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT2G35450.1	catalytic/ hydrolase	plastid stroma
AT2G35490.1	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G35500.1	shikimate kinase like 2	plastid stroma
AT2G35800.1	mitochondrial substrate carrier family protein	envelope
AT2G36000.1	Mitochondrial transcription termination factor family protein	plastid
AT2G36000.2	Mitochondrial transcription termination factor family protein	plastid
AT2G36145.1	hypothetical protein	thylakoid
AT2G36250.1	Tubulin/FtsZ family protein	plastid stroma
AT2G36250.2	Tubulin/FtsZ family protein	plastid stroma
AT2G36390.1	starch branching enzyme 2.1	plastid stroma
AT2G36990.1	RNApolymerase sigma-subunit F	plastid
AT2G37220.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT2G37240.1	Thioredoxin superfamily protein	plastid stroma
AT2G37400.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT2G37500.1	arginine biosynthesis protein ArgJ family	plastid stroma
AT2G37500.2	arginine biosynthesis protein ArgJ family	plastid stroma
AT2G37660.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT2G37690.1	phosphoribosylaminoimidazole carboxylase%2C putative / AIR carboxylase	plastid
AT2G37770.1	NAD(P)-linked oxidoreductase superfamily protein	plastid
AT2G37770.2	NAD(P)-linked oxidoreductase superfamily protein	plastid
AT2G37860.1	reticulata-like protein%2C putative (DUF3411)	envelope-inner
AT2G37860.2	reticulata-like protein%2C putative (DUF3411)	envelope-inner
AT2G37860.3	reticulata-like protein%2C putative (DUF3411)	envelope-inner
AT2G37920.1	copper ion transmembrane transporter	plastid
AT2G38040.1	acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit	envelope-inner-peripheral-stromal-side
AT2G38040.2	acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit	envelope-inner-peripheral-stromal-side
AT2G38060.1	phosphate transporter 4%3B2	envelope-inner-integral
AT2G38140.1	plastid-specific ribosomal protein 4	plastid ribosome
AT2G38270.1	CAX-interacting protein 2	plastid stroma
AT2G38550.1	Transmembrane proteins 14C	envelope-inner-integral
AT2G39000.1	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid
AT2G39000.2	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid
AT2G39000.3	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid
AT2G39080.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT2G39140.1	pseudouridine synthase family protein	plastid stroma
AT2G39190.1	Protein kinase superfamily protein	plastid
AT2G39190.2	Protein kinase superfamily protein	plastid
AT2G39290.1	phosphatidylglycerolphosphate synthase 1	mitochondria; plastid
AT2G39470.1	PsbP-like protein 2	thylakoid-peripheral-lumenal-side
AT2G39470.2	PsbP-like protein 2	thylakoid-peripheral-lumenal-side
AT2G39470.3	PsbP-like protein 2	thylakoid-peripheral-lumenal-side
AT2G39670.1	Radical SAM superfamily protein	plastid
AT2G39670.2	Radical SAM superfamily protein	plastid
AT2G39730.1	rubisco activase	plastid stroma
AT2G39730.2	rubisco activase	plastid stroma
AT2G39730.3	rubisco activase	plastid stroma
AT2G39930.1	isoamylase 1	plastid
AT2G40100.1	light harvesting complex photosystem II	thylakoid-integral
AT2G40100.2	light harvesting complex photosystem II	thylakoid-integral
AT2G40300.1	ferritin 4	mitochondria; plastid
AT2G40400.1	DUF399 family protein%2C putative (DUF399 and DUF3411)	envelope-inner-integral
AT2G40400.2	DUF399 family protein%2C putative (DUF399 and DUF3411)	envelope-inner-integral
AT2G40490.1	Uroporphyrinogen decarboxylase	plastid stroma
AT2G40690.1	NAD-dependent glycerol-3-phosphate dehydrogenase family protein	plastid
AT2G41040.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	plastoglobules
AT2G41220.1	glutamate synthase 2	plastid stroma
AT2G41460.1	apurinic endonuclease-redox protein	plastid nucleoid
AT2G41460.2	apurinic endonuclease-redox protein	plastid nucleoid
AT2G41680.1	NADPH-dependent thioredoxin reductase C	plastid stroma
AT2G41950.1	DNA-directed RNA polymerase subunit beta	plastid stroma
AT2G42070.1	nudix hydrolase homolog 23	plastid stroma
AT2G42130.1	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G42130.2	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G42130.3	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G42130.4	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G42130.5	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G42220.1	Rhodanese/Cell cycle control phosphatase superfamily protein	thylakoid
AT2G42530.1	cold regulated 15b	plastid stroma
AT2G42540.1	cold-regulated 15a	plastid stroma
AT2G42540.2	cold-regulated 15a	plastid stroma
AT2G42540.3	cold-regulated 15a	plastid stroma
AT2G42770.1	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	envelope-inner-integral
AT2G42975.1	myosin-G heavy chain-like protein	plastid
AT2G43030.1	Ribosomal protein L3 family protein	plastid ribosome
AT2G43090.1	Aconitase/3-isopropylmalate dehydratase protein	plastid stroma
AT2G43090.2	Aconitase/3-isopropylmalate dehydratase protein	plastid stroma
AT2G43100.1	isopropylmalate isomerase 2	plastid stroma
AT2G43180.1	Phosphoenolpyruvate carboxylase family protein	plastid
AT2G43180.2	Phosphoenolpyruvate carboxylase family protein	plastid
AT2G43180.3	Phosphoenolpyruvate carboxylase family protein	plastid
AT2G43180.4	Phosphoenolpyruvate carboxylase family protein	plastid
AT2G43235.1	phosphoribosylformylglycinamidine synthase	plastid nucleoid
AT2G43560.1	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	thylakoid-peripheral-lumenal-side
AT2G43620.1	Chitinase family protein	plastid
AT2G43630.1	nucleusenvelope protein	plastid
AT2G43710.1	Plant stearoyl-acyl-carrier-protein desaturase family protein	plastid stroma
AT2G43710.2	Plant stearoyl-acyl-carrier-protein desaturase family protein	plastid stroma
AT2G43750.1	O-acetylserine (thiol) lyase B	plastid stroma
AT2G43750.2	O-acetylserine (thiol) lyase B	plastid stroma
AT2G43945.1	hypothetical protein	plastid stroma
AT2G43950.1	chloroplast outer envelope protein 37	envelope-outer
AT2G43950.2	chloroplast outer envelope protein 37	envelope-outer
AT2G43950.3	Constitutes a peptide sensitive ion  channel in chloroplast outer membranes. Accumulates in germinating  seeds and developing embryos.	envelope-outer
AT2G44040.1	Dihydrodipicolinate reductase%2C bacterial/plant	plastid stroma
AT2G44050.1	6%2C7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase	plastid
AT2G44530.1	Phosphoribosyltransferase family protein	plastid stroma
AT2G44530.2	Phosphoribosyltransferase family protein	plastid stroma
AT2G44640.1	TRIGALACTOSYLDIACYLGLYCEROL-like protein	envelope
AT2G44650.1	chloroplast chaperonin 10	plastid stroma
AT2G44810.1	alpha/beta-Hydrolases superfamily protein	plastid
AT2G44920.1	Tetratricopeptide repeat (TPR)-like superfamily protein	thylakoid-peripheral-lumenal-side
AT2G44920.2	Tetratricopeptide repeat (TPR)-like superfamily protein	thylakoid-peripheral-lumenal-side
AT2G44990.1	carotenoid cleavage dioxygenase 7	plastid
AT2G45150.1	cytidinediphosphate diacylglycerol synthase 4	plastid
AT2G45150.2	cytidinediphosphate diacylglycerol synthase 4	plastid
AT2G45150.3	cytidinediphosphate diacylglycerol synthase 4	plastid
AT2G45290.1	Transketolase	plastid stroma
AT2G45300.1	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase%2C alpha/beta	plastid stroma
AT2G45350.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid stroma
AT2G45440.1	dihydrodipicolinate synthase	plastid
AT2G45770.1	signal recognition particle receptor protein%2C chloroplast (FTSY)	thylakoid-peripheral-stromal-side
AT2G45770.2	"chloroplast SRP receptor homolog, alpha subunit CPFTSY. Required for LHCP  integration into isolated thylakoids."	thylakoid-peripheral-stromal-side
AT2G45990.1	ribosomal RNA small subunit methyltransferase G	plastid stroma
AT2G45990.2	ribosomal RNA small subunit methyltransferase G	plastid stroma
AT2G45990.3	ribosomal RNA small subunit methyltransferase G	plastid stroma
AT2G45990.4	ribosomal RNA small subunit methyltransferase G	plastid stroma
AT2G46820.1	photosystem I P subunit	thylakoid
AT2G46820.2	photosystem I P subunit	thylakoid
AT2G46910.1	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT2G47390.1	Prolyl oligopeptidase family protein	plastid stroma
AT2G47400.1	CP12 domain-containing protein 1	plastid stroma
AT2G47450.1	chloroplast signal recognition particle component (CAO)	plastid stroma
AT2G47490.1	NAD+ transporter 1	plastid
AT2G47730.1	glutathione S-transferase phi 8	cytosol; plastid stroma
AT2G47840.1	Uncharacterized conserved protein ycf60	envelope-inner-integral
AT2G47910.1	chlororespiratory reduction 6	plastid stroma
AT2G47910.2	chlororespiratory reduction 6	plastid stroma
AT2G47940.1	DEGP protease 2	plastid stroma
AT2G47940.2	DEGP protease 2	plastid stroma
AT2G48070.1	resistance to phytophthora 1	plastid
AT2G48070.2	resistance to phytophthora 1	plastid
AT2G48070.3	resistance to phytophthora 1	plastid
