"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
420	AT2G25660	nd	ENV
164	AT2G34460	ENV-THY	ENV-THY
165	AT1G72640	THY-ENV	ENV-THY
166	AT5G62140	ENV	ENV
167	AT5G52440	ENV-THY	ENV-THY
168	AT5G28750	ENV	ENV
169	AT3G04890	ENV	ENV-OTH
170	AT2G46100	ENV	ENV
171	AT5G04830	ENV	ENV
172	AT1G71480	nd	ENV-OTH
173	AT2G34810	nd	ENV
174	AT3G59840	ENV	ENV
175	AT4G28730	nd	ENV-OTH
176	AT1G06690	ENV	ENV-OTH
177	AT1G32550	ENV-STR	ENV-STR
178	AT3G53220	ENV	ENV
179	AT5G06430	ENV	ENV
180	AT5G50100	ENV	ENV
181	AT5G04900	ENV	ENV-OTH
182	AT2G37240	nd	ENV
183	AT5G03880	ENV-THY	ENV-THY
184	AT1G54500	ENV-THY	ENV-THY
185	AT3G52960	STR-ENV	ENV-STR
186	AT3G54900	STR-ENV	ENV-STR
187	AT2G04700	STR-ENV	ENV-STR
188	AT5G26742	STR-ENV	ENV-STR
189	AT3G63140	Mix	ENV-STR
190	AT3G07790	nd	ENV-OTH
191	AT5G20130	ENV	ENV
192	AT2G43630	ENV	ENV
193	AT4G34830	ENV	ENV
194	AT5G46580	ENV-STR	ENV
195	AT3G09490	nd	ENV
196	AT5G02590	nd	ENV
197	AT3G18420	ENV	ENV
198	AT2G37400	ENV	ENV
199	AT3G53560	ENV	ENV
200	AT1G10510	ENV	ENV
201	AT2G44870	ENV	ENV
202	AT3G55250	ENV-STR	ENV
203	AT3G51140	ENV	ENV
204	AT5G23040	ENV	ENV
205	AT2G33380	nd	ENV-OTH
206	AT1G67700	ENV-THY	ENV-THY
207	AT5G44000	n/a	ENV
208	AT2G25080	Mix	ENV-OTH
209	AT3G44380	n/a	ENV
210	AT3G45890	ENV	ENV
211	AT2G31190	ENV	ENV
212	AT5G49820	nd	ENV
213	AT3G63490	STR-ENV	ENV-STR
214	ATCG00830	STR-ENV	ENV-STR
215	AT2G43030	STR-ENV	ENV-STR
216	AT1G05190	STR-ENV	ENV-STR
217	AT3G44890	STR-ENV	ENV-STR
218	AT5G13510	STR-ENV	ENV-STR
219	AT1G32990	Mix	ENV-OTH
220	AT3G27830	STR-ENV	ENV-STR
221	AT1G78630	STR-ENV	ENV-STR
222	AT4G01310	STR-ENV	ENV-STR
223	AT3G25920	STR-ENV	ENV-STR
224	ATCG00790	STR-ENV	ENV-STR
225	AT3G54210	ENV-STR	ENV-STR
226	AT4G17560	STR-ENV	ENV-STR
227	AT5G47190	ENV-STR	ENV-STR
228	ATCG00660	ENV-STR	ENV-STR
229	AT1G35680	STR-ENV	ENV-STR
230	ATCG00810	STR-ENV	ENV-STR
231	ATCG00840	STR-ENV	ENV-STR
232	AT5G54600	ENV-STR	ENV-STR
233	AT5G40950	ENV-STR	ENV-STR
234	AT2G33450	STR-ENV	ENV
235	AT5G65220	STR-ENV	ENV-STR
236	ATCG00760	STR-ENV	ENV-STR
237	ATCG00770	Mix	ENV-OTH
238	AT1G74970	STR-ENV	ENV-STR
239	ATCG00330	STR-ENV	ENV-STR
240	ATCG01120	STR-ENV	ENV-STR
241	AT4G34620	STR-ENV	ENV-STR
242	AT1G79850	Mix	ENV-OTH
243	ATCG00650	ENV-STR	ENV-STR
244	ATCG00820	STR-ENV	ENV-STR
245	AT3G15190	STR-ENV	ENV-STR
246	AT2G38140	STR-ENV	ENV
247	AT2G42770	ENV	ENV
248	AT5G19750	ENV	ENV
249	AT5G62720	ENV	ENV
250	AT5G52540	ENV	ENV
251	AT4G24460	ENV	ENV
252	AT1G32080	ENV	ENV
253	AT4G00370	ENV	ENV
254	AT5G06220	ENV	ENV
255	AT3G11560	ENV	ENV
256	AT3G60590	ENV	ENV
257	AT4G28210	ENV	ENV
258	AT1G70610	ENV	ENV
259	AT3G21580	ENV	ENV
260	AT1G28530	ENV	ENV
261	AT5G03910	ENV	ENV
262	AT5G64940	THY	ENV
263	AT4G25450	ENV	ENV
264	AT4G33460	ENV	ENV
265	AT5G58270	ENV	ENV
266	AT5G14100	ENV	ENV
267	AT1G80300	ENV	ENV
268	AT1G15500	ENV	ENV
269	AT4G37270	ENV	ENV
270	AT4G33520	ENV	ENV
271	AT4G13590	ENV	ENV
272	AT5G59250	ENV	ENV-OTH
273	AT5G16150	ENV	ENV
274	AT5G12170	nd	ENV
275	AT5G10490	ENV	ENV
276	AT4G00290	ENV	ENV
277	AT1G48460	ENV	ENV
278	AT5G43745	ENV	ENV
279	AT5G02940	ENV	ENV
280	AT1G19800	ENV	ENV
281	AT3G20320	ENV	ENV
282	AT1G65410	ENV	ENV
283	AT1G27695	nd	ENV
284	AT3G57280	ENV	ENV-OTH
285	AT2G38550	ENV	ENV
286	AT1G01790	ENV	ENV
287	AT4G00630	ENV	ENV
288	AT3G56290	nd	ENV
289	AT5G17520	ENV	ENV
290	AT4G32400	ENV	ENV
291	AT5G01500	ENV	ENV
292	AT1G78180	ENV	ENV
293	AT5G42130	ENV	ENV
294	AT2G35800	ENV	ENV
295	AT3G51870	ENV	ENV
296	AT4G39460	ENV	ENV
297	AT1G34065	nd	ENV
298	AT2G26360	nd	ENV
299	AT5G22830	ENV	ENV
300	AT3G13070	ENV	ENV
301	AT1G55930	ENV	ENV
302	AT2G02590	ENV	ENV
303	AT2G21340	ENV	ENV
304	AT2G26900	ENV-THY	ENV
305	AT3G56160	ENV	ENV
306	AT1G78560	ENV	ENV-OTH
307	AT2G16800	n/a	ENV
308	AT5G64290	ENV-THY	ENV-THY
309	AT5G64280	ENV	ENV-OTH
310	AT5G12860	ENV-THY	ENV
311	AT3G26570	ENV	ENV
312	AT2G29650	ENV	ENV
313	AT3G46980	ENV	ENV
314	AT5G17630	ENV	ENV
315	AT5G54800	nd	ENV
316	AT5G33320	ENV	ENV
317	AT3G01550	nd	ENV
318	AT5G46110	ENV-THY	ENV
319	AT4G38380	ENV	ENV
320	AT4G39030	nd	ENV
321	AT1G31410	ENV	ENV
322	AT1G67080	ENV	ENV
323	AT2G24020	STR-ENV	ENV-STR
324	AT5G14910	STR-ENV	ENV-STR
325	AT1G71240	ENV	ENV
326	AT2G38695	n/a	ENV
327	AT5G63040	ENV	ENV
328	AT2G36835	ENV	ENV
329	AT1G25375	ENV	ENV
330	AT1G55450	ENV	ENV-OTH
331	AT1G11320	ENV	ENV
332	AT5G63050	ENV	ENV
333	AT4G17540	ENV	ENV
334	AT3G63390	ENV	ENV
335	AT5G22210	ENV	ENV
336	AT5G65250	ENV	ENV
337	AT1G33810	ENV	ENV-OTH
338	AT3G61770	ENV	ENV
339	AT1G44920	ENV	ENV
340	AT2G43540	n/a	ENV
341	AT1G06510	nd	ENV
342	AT2G35660	nd	ENV-OTH
343	AT1G49510	ENV	ENV
344	AT1G56200	ENV	ENV
345	AT4G15820	ENV	ENV
346	AT5G53860	ENV	ENV
347	AT1G24040	ENV	ENV-OTH
348	AT1G66820	ENV	ENV
349	AT1G42960	ENV	ENV
350	AT3G02900	ENV	ENV
351	AT5G16660	ENV	ENV
352	AT5G42070	ENV-THY	ENV-THY
353	AT3G12345	nd	ENV-OTH
354	AT4G27700	ENV-THY	ENV-THY
355	AT1G18060	nd	ENV-OTH
356	AT3G32930	ENV	ENV
357	AT5G09995	ENV	ENV
358	AT1G08530	ENV	ENV
359	AT1G64680	ENV-THY	ENV
360	AT5G13720	ENV	ENV
361	AT4G19390	ENV	ENV
362	AT3G08640	ENV	ENV
363	AT5G12470	ENV	ENV-OTH
364	AT5G24690	ENV	ENV
365	AT2G37860	ENV	ENV
366	AT1G29700	ENV-STR	ENV-STR
367	AT1G54520	ENV	ENV-OTH
368	AT5G20140	ENV-THY	ENV-THY
369	AT2G43235	ENV	ENV
370	AT5G08540	ENV	ENV
371	AT5G23890	ENV	ENV
372	AT5G52410	ENV	ENV
373	AT3G25680	ENV	ENV
374	AT4G13150	ENV	ENV
375	AT4G13670	ENV-THY	ENV
376	AT5G22790	ENV	ENV
377	AT3G08920	THY-ENV	ENV-THY
378	AT5G12130	nd	ENV
379	AT2G18245	n/a	ENV
380	AT1G73470	nd	ENV
381	AT1G16790	ENV	ENV
382	ATCG00860	ENV	ENV
383	AT1G65260	ENV	ENV-OTH
			
