"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
691	AT1G22780	ENV	OTH-CYT
692	AT3G45030	nd	OTH-CYT
693	AT3G53890	nd	OTH-CYT
694	AT5G27700	nd	OTH-CYT
695	AT3G09680	nd	OTH-CYT
696	AT2G16360	nd	OTH-CYT
697	AT3G10090	nd	OTH-CYT
698	AT5G64140	nd	OTH-CYT
			
699	AT5G40770	nd	OTH-MIT
700	AT5G55070	nd	OTH-MIT
701	AT2G19860	nd	OTH-MIT
702	AT1G53240	STR-ENV	OTH-MIT
703	AT2G38670	nd	OTH-MIT
704	AT4G11010	nd	OTH-MIT
705	AT5G63400	nd	OTH-MIT
706	AT1G53000	nd	OTH-MIT
707	AT1G11860	STR	OTH-MIT
708	AT4G37930	THY-STR	OTH-MIT
709	AT3G02090	nd	OTH-MIT
710	AT5G43970	nd	OTH-MIT
711	ATMG00160	nd	OTH-MIT
712	AT5G13430	nd	OTH-MIT
713	AT5G08530	nd	OTH-MIT
714	AT4G16450	nd	OTH-MIT
715	AT5G52840	nd	OTH-MIT
716	AT4G32470	nd	OTH-MIT
717	AT1G28690	nd	OTH-MIT
718	AT2G21870	nd	OTH-MIT
719	AT5G08670	nd	OTH-MIT
720	ATMG00640	nd	OTH-MIT
721	AT5G14040	nd	OTH-MIT
722	AT3G08580	nd	OTH-MIT
723	AT5G13490	nd	OTH-MIT
724	AT5G19760	nd	OTH-MIT
725	AT5G46800	nd	OTH-MIT
726	AT3G01280	nd	OTH-MIT
727	AT5G15090	nd	OTH-MIT
728	AT5G20090	nd	OTH-MIT
729	AT5G27540	nd	OTH-MIT
730	AT3G27930	nd	OTH-MIT
			
731	AT1G68010	Mix	OTH-PER
732	AT5G09660	ENV-THY	OTH-PER
733	AT4G29010	nd	OTH-PER
734	AT3G05970	nd	OTH-PER
735	AT2G33150	nd	OTH-PER
736	AT2G13360	STR	OTH-PER
737	AT5G03100	nd	OTH-PER
738	AT3G52880	STR	OTH-PER
739	AT1G23310	STR	OTH-PER
740	AT1G76180	ENV-STR	OTH-PER
741	AT3G14420	STR	OTH-PER
742	AT3G14415	STR	OTH-PER
743	AT4G35000	ENV	OTH-PER
744	AT1G20620	STR	OTH-PER
745	AT3G27820	nd	OTH-PER
			
746	AT3G19340	nd	OTH-PM
747	AT5G02500	ENV-STR	OTH-PM
748	AT5G62740	nd	OTH-PM
749	AT1G66980	nd	OTH-PM
750	AT3G44320	nd	OTH-PM
751	AT1G59870	nd	OTH-PM
752	AT3G21180	nd	OTH-PM
753	AT4G30190	nd	OTH-PM
754	AT5G62670	nd	OTH-PM
755	AT2G45960	n/a	OTH-PM
756	AT4G23400	nd	OTH-PM
757	AT3G53420	nd	OTH-PM
758	AT2G39010	nd	OTH-PM
759	AT4G35100	ENV	OTH-PM
760	AT1G30360	nd	OTH-PM
761	AT3G28860	nd	OTH-PM
762	AT5G53560	nd	OTH-PM
763	AT1G66970	nd	OTH-PM
764	AT4G27520	nd	OTH-PM
765	AT5G54500	nd	OTH-PM
766	AT4G36750	nd	OTH-PM
767	AT4G20260	ENV	OTH-PM
768	AT3G07390	nd	OTH-PM
769	AT3G08510	nd	OTH-PM
770	AT1G66410	nd	OTH-PM
771	AT1G18210	nd	OTH-PM
772	AT3G61050	nd	OTH-PM
773	AT5G06320	nd	OTH-PM
774	AT3G45780	nd	OTH-PM
775	AT5G58140	ENV	OTH-PM
776	AT2G37970	n/a	OTH-PM
777	AT3G01290	nd	OTH-PM
778	AT1G03870	nd	OTH-PM
779	AT5G44130	nd	OTH-PM
780	AT2G30930	ENV	OTH-PM
781	AT2G20230	nd	OTH-PM
			
782	AT1G09850	nd	OTH-VAC
783	AT2G07050	nd	OTH-VAC
784	AT5G58070	ENV	OTH-VAC
785	AT1G43620	nd	OTH-VAC
786	AT4G33360	nd	OTH-VAC
787	AT4G25570	nd	OTH-VAC
788	AT1G32400	nd	OTH-VAC
789	AT5G14120	nd	OTH-VAC
790	AT4G38350	nd	OTH-VAC
791	AT3G30390	nd	OTH-VAC
792	AT2G36830	ENV	OTH-VAC
793	AT3G26520	ENV-THY	OTH-VAC
794	AT3G16240	THY-ENV	OTH-VAC
795	AT4G17340	nd	OTH-VAC
796	AT2G41560	nd	OTH-VAC
797	AT3G57330	nd	OTH-VAC
798	AT1G15690	ENV	OTH-VAC
799	AT1G78900	ENV	OTH-VAC
800	AT2G21410	nd	OTH-VAC
801	AT4G39080	ENV	OTH-VAC
802	AT1G76030	ENV	OTH-VAC
803	AT4G38510	ENV	OTH-VAC
804	AT1G20260	nd	OTH-VAC
805	AT1G12840	ENV	OTH-VAC
806	AT3G58730	ENV	OTH-VAC
807	AT3G28710	ENV	OTH-VAC
808	AT3G28715	nd	OTH-VAC
809	AT4G11150	ENV	OTH-VAC
810	AT4G02620	ENV	OTH-VAC
811	AT3G01390	ENV	OTH-VAC
812	AT3G42050	ENV	OTH-VAC
813	AT2G25610	nd	OTH-VAC
814	AT2G02040	nd	OTH-VAC
815	AT4G03560	nd	OTH-VAC
816	AT4G23640	nd	OTH-VAC
817	AT1G30400	nd	OTH-VAC
818	AT1G04120	nd	OTH-VAC
819	AT3G62700	nd	OTH-VAC
820	AT1G53210	nd	OTH-VAC
821	AT5G40890	nd	OTH-VAC
822	AT1G70330	nd	OTH-VAC
823	AT1G19450	nd	OTH-VAC
824	AT1G75220	nd	OTH-VAC
825	AT1G20840	nd	OTH-VAC
826	AT4G35300	nd	OTH-VAC
			
827	AT1G08880	nd	OTH-NUC
828	AT1G07790	nd	OTH-NUC
829	AT1G07660	THY-STR	OTH-NUC
830	AT5G40480	nd	OTH-NUC
831	AT4G16143	nd	OTH-NUC
832	AT1G14850	nd	OTH-NUC
			
833	AT5G15450	STR	STR
834	AT4G24280	STR	STR
835	AT5G49910	STR	STR
836	AT2G47390	STR	STR
837	AT5G17710	STR	STR
838	AT3G24430	STR	STR-ENV
839	AT2G04030	STR	STR
840	AT5G42390	STR	STR
841	AT2G39730	STR	STR
842	AT3G13470	STR-ENV	STR-ENV
843	AT2G28000	STR-ENV	STR
844	AT1G55490	STR	STR
845	AT5G55220	STR	STR
846	AT3G19170	STR	STR
847	AT4G20850	STR	STR
848	AT5G65620	STR	STR
849	AT5G35970	STR	STR-ENV
850	AT2G02740	STR	STR
851	AT1G31160	nd	STR
852	AT1G29900	STR	STR
853	AT4G24830	STR	STR
854	AT4G31990	STR	STR
855	AT5G11520	STR	STR
856	AT4G33680	STR	STR
857	AT1G14810	STR	STR
858	AT1G67280	STR	STR
859	AT2G17265	STR	STR
860	AT3G22890	STR	STR
861	AT5G04590	STR	STR
862	AT2G43750	STR	STR
863	AT2G19940	STR	STR
864	AT1G31860	STR	STR-ENV
865	AT5G63890	STR	STR
866	AT4G26900	STR	STR
867	AT1G31230	STR	STR
868	AT3G58610	STR	STR
869	AT3G23940	STR	STR
870	AT2G31810	STR	STR-ENV
871	AT2G43090	STR	STR
872	AT4G13430	STR	STR
873	AT2G44040	STR	STR
874	AT5G11880	STR	STR
875	AT3G57050	STR	STR
876	AT2G41040	nd	STR
877	AT2G39800	nd	STR
878	AT4G34200	STR	STR
879	AT4G29840	STR	STR
880	AT1G07780	STR	STR-ENV
881	AT5G17990	STR	STR
882	AT3G54640	STR	STR
883	AT5G19220	STR	STR
884	AT1G69830	STR	STR
885	AT5G66530	STR	STR
886	AT5G48300	STR	STR
887	AT4G00490	STR	STR
888	AT4G17090	nd	STR
889	AT2G47400	STR-ENV	STR
890	AT3G62410	STR	STR
891	AT3G52180	STR	STR
892	AT1G66430	STR	STR
893	AT3G26650	STR-ENV	STR
894	AT1G12900	STR-ENV	STR
895	AT1G12900	STR-ENV	STR
896	AT1G42970	STR-ENV	STR
897	AT1G80380	STR	STR
898	AT3G54050	STR	STR
899	AT4G26530	STR	STR
900	AT5G35790	STR	STR
901	AT1G64190	STR	STR
902	AT5G41670	STR	STR
903	AT4G24620	STR	STR
904	AT5G51820	STR	STR
905	AT5G04140	STR	STR
906	AT3G29320	STR	STR
907	AT5G35630	STR	STR
908	AT5G58330	STR	STR
909	AT5G24400	STR	STR
910	AT1G21440	STR	STR
911	AT3G12780	STR	STR
912	AT1G56190	STR	STR
913	AT5G36700	STR	STR
914	AT5G17530	STR	STR
915	AT3G04790	STR	STR
916	AT1G32060	STR	STR
917	ATCG00490	STR-ENV	STR
918	AT1G67090	STR-ENV	STR
919	AT5G38430	STR-ENV	STR
920	AT5G38410	STR-ENV	STR
921	AT5G14260	STR	STR
922	AT5G61410	STR	STR
923	AT3G55800	STR	STR
924	AT2G21330	STR-THY	STR-THY
925	AT4G38970	STR	STR
926	AT4G32520	STR	STR
927	AT2G21170	STR	STR
928	AT3G60750	STR	STR
929	AT1G10760	STR	STR
930	AT5G24300	STR	STR
931	AT5G66120	STR	STR
932	AT1G06130	nd	STR
933	AT4G23100	STR	STR
934	AT5G14590	STR-THY	STR-THY
935	AT5G62790	STR	STR
936	AT5G60600	STR	STR
937	AT4G38460	STR	STR
938	AT5G36880	STR	STR
939	AT5G35360	STR	STR
940	AT1G62640	STR	STR
941	AT5G46290	STR	STR
942	AT1G74960	STR	STR
943	AT1G24360	STR	STR
944	AT3G45140	STR	STR
945	AT5G52920	STR	STR
946	AT3G22960	STR	STR
947	AT4G18440	STR	STR
948	AT4G22570	STR	STR
949	AT4G34740	STR	STR
950	AT5G63420	STR	STR-ENV
951	AT5G48960	STR	STR
952	AT5G63310	STR	STR
953	AT2G44530	STR	STR-ENV
954	AT5G09650	STR	STR
955	AT1G74260	STR	STR
956	AT3G57610	STR	STR
957	AT3G53900	STR	STR-ENV
958	AT3G14930	STR	STR
959	AT1G69740	STR	STR-ENV
960	AT2G40490	STR	STR
961	AT5G08280	STR	STR
962	AT1G03475	STR	STR
963	AT3G48730	STR	STR-ENV
964	AT4G18480	STR	STR-ENV
965	AT1G63940	STR	STR
966	AT1G15730	STR	STR-ENV
967	AT5G57850	STR	STR
968	AT1G21065	nd	STR
969	AT5G54770	STR	STR-ENV
970	AT2G30170	STR	STR-ENV
971	AT5G55280	STR	STR
972	AT2G47450	STR	STR
973	AT4G01800	STR	STR-ENV
974	AT5G03940	STR	STR
975	AT2G37660	STR	STR
976	AT4G18810	STR-ENV	STR
977	AT3G15840	STR	STR
978	AT2G47910	STR	STR
979	ATCG00420	STR	STR
980	AT4G03520	STR	STR
981	AT3G11630	STR	STR
982	AT5G06290	STR	STR
983	AT1G76080	STR	STR
984	AT2G38270	STR	STR
985	AT5G16710	STR	STR
986	AT5G01600	STR	STR
987	AT3G54660	STR	STR
988	AT1G53670	nd	STR-ENV
989	AT1G04420	STR	STR
990	AT2G41680	STR	STR
991	AT4G29670	STR	STR
992	AT1G03680	STR-ENV	STR
993	AT3G15360	STR-ENV	STR
994	AT5G66190	STR-THY	STR-THY
995	AT1G20020	STR-THY	STR-THY
996	AT2G15620	STR	STR
997	AT1G23740	STR	STR
998	AT5G06690	nd	STR
999	AT2G37220	STR-THY	STR-THY
1000	AT4G24770	STR-ENV	STR
1001	AT3G52380	STR	STR
1002	AT2G35410	STR	STR-ENV
1003	AT4G09040	STR	STR
1004	AT1G70070	nd	STR-ENV
1005	AT1G09340	Mix	STR-THY
1006	AT4G16390	STR	STR-ENV
1007	AT3G03710	STR	STR
1008	AT1G01080	STR	STR
1009	AT2G26670	STR	STR
1010	AT1G56050	STR	STR
1011	AT4G05090	nd	STR
1012	AT2G28190	STR	STR
1013	AT2G40300	STR	STR
1014	AT4G25100	STR	STR
1015	AT2G30860	STR	STR
1016	AT1G80480	STR	STR
1017	AT3G08740	STR	STR
1018	AT2G04842	STR	STR
1019	AT3G25660	STR	STR
1020	AT1G48520	STR	STR
1021	AT5G64050	STR	STR-ENV
1022	AT3G48110	STR	STR
1023	AT5G49030	STR	STR
1024	AT3G58140	STR	STR
1025	AT3G63190	STR	STR
1026	AT3G43540	nd	STR
1027	AT4G20360	STR-THY	STR-THY
1028	AT1G62750	STR	STR
1029	AT1G17220	STR	STR
1030	AT5G08650	STR-THY	STR-ENV
1031	AT1G16720	STR	STR-ENV
1032	AT3G52150	STR	STR
1033	AT1G68590	STR	STR-ENV
1034	AT4G29060	STR	STR
1035	AT1G07320	STR	STR-ENV
1036	ATCG00780	Mix	STR-OTH
1037	AT1G48350	STR	STR
1038	AT1G75350	Mix	STR-ENV
1039	AT5G30510	STR	STR
1040	AT3G23700	STR	STR
1041	ATCG00160	STR	STR-ENV
1042	ATCG00800	STR-ENV	STR-ENV
1043	ATCG00380	STR	STR
1044	AT2G33800	STR-THY	STR-ENV
1045	ATCG00900	nd	STR-ENV
1046	ATCG00750	STR	STR-ENV
1047	ATCG00065	STR-THY	STR-ENV
1048	AT5G14320	STR	STR
1049	AT5G13650	STR	STR-ENV
1050	AT1G23180	STR	STR-ENV
1051	AT5G04740	STR	STR
1052	AT2G47730	STR	STR
1053	AT1G32160	STR	STR
1054	AT5G45170	STR	STR
1055	AT4G39970	STR	STR
1056	AT3G48420	STR	STR
1057	AT5G27560	STR	STR
1058	AT1G53280	STR	STR
1059	AT5G04440	STR	STR-ENV
1060	AT1G31190	STR	STR-ENV
1061	AT5G52520	STR	STR
1062	AT1G62780	STR	STR
1063	AT1G52670	STR	STR
1064	AT5G14660	STR	STR-ENV
1065	AT2G14880	STR	STR-ENV
1066	AT2G45990	STR	STR
1067	AT2G30695	STR	STR
1068	AT3G04550	STR	STR
1069	AT5G13030	STR	STR
			
1070	AT3G15520	THY	THY
1071	AT3G27925	THY-STR	THY-STR
1072	AT5G39830	THY	THY
1073	AT5G02160	nd	THY
1074	AT5G05740	THY	THY
1075	AT2G43560	Mix	THY
1076	AT5G45680	THY	THY-ENV
1077	AT1G18170	THY	THY
1078	AT3G10060	THY	THY
1079	AT1G50250	THY-ENV	THY
1080	AT2G30950	THY	THY
1081	AT5G42270	THY-ENV	THY
1082	AT1G06430	THY	THY
1083	AT2G36250	THY-STR	THY-STR
1084	AT3G01480	THY	THY
1085	AT2G42220	THY	THY
1086	AT3G16000	THY	THY
1087	AT4G31390	nd	THY
1088	AT1G79600	THY	THY
1089	AT4G33510	THY	THY
1090	AT1G73110	THY-STR	THY-STR
1091	AT2G22230	THY	THY
1092	AT1G29670	THY	THY
1093	AT2G43710	THY-STR	THY-ENV
1094	AT5G35170	THY	THY
1095	AT5G08740	THY	THY
1096	AT1G32900	THY	THY
1097	AT3G51820	THY	THY
1098	AT1G74470	THY	THY
1099	AT2G30390	THY	THY-ENV
1100	AT3G14110	THY	THY
1101	AT4G19170	nd	THY
1102	AT1G08550	THY	THY
1103	AT5G53580	THY	THY
1104	AT4G04020	THY	THY
1105	AT2G35490	THY	THY
1106	AT3G26070	THY	THY
1107	AT3G58010	nd	THY
1108	AT4G00030	nd	THY
1109	AT1G78140	nd	THY
1110	AT3G18890	THY-ENV	THY
1111	AT4G35250	THY	THY
1112	AT3G46780	THY-ENV	THY
1113	AT2G07698	THY	THY
1114	ATCG00120	THY-ENV	THY
1115	ATCG00480	THY	THY
1116	AT4G04640	THY-ENV	THY
1117	AT4G09650	THY-ENV	THY
1118	ATCG00470	THY-ENV	THY
1119	ATCG00130	THY	THY
1120	AT4G32260	THY-ENV	THY
1121	AT4G01050	THY	THY
1122	ATCG01010	nd	THY
1123	AT1G15980	THY	THY
1124	AT1G64770	THY	THY
1125	ATCG01110	THY-STR	THY-STR
1126	ATCG01090	nd	THY
1127	AT5G58260	THY	THY
1128	AT5G13120	THY	THY
1129	AT3G26710	THY	THY
1130	ATCG00540	THY	THY
1131	ATCG00720	THY	THY
1132	AT4G03280	THY	THY
1133	ATCG00730	THY	THY
1134	AT1G20340	THY	THY
1135	AT1G76100	n/a	THY
1136	AT3G54890	THY	THY
1137	AT3G61470	THY	THY
1138	AT1G61520	THY	THY
1139	AT3G47470	THY	THY
1140	AT1G45474	THY	THY
1141	AT1G29930	THY	THY
1142	AT2G34430	THY	THY
1143	AT5G54270	THY	THY
1144	AT5G01530	THY	THY
1145	AT3G08940	THY	THY
1146	AT2G40100	THY	THY
1147	AT4G10340	THY	THY
1148	AT1G15820	THY	THY
1149	ATCG00350	THY-ENV	THY
1150	ATCG00340	THY-ENV	THY
1151	ATCG01060	THY	THY
1152	AT4G28750	THY-ENV	THY
1153	AT2G20260	THY-ENV	THY
1154	AT1G31330	THY-ENV	THY
1155	AT1G55670	THY	THY
1156	AT1G03130	THY-ENV	THY
1157	AT1G52230	THY	THY
1158	AT1G30380	THY	THY
1159	AT4G12800	THY	THY
1160	AT5G64040	THY	THY
1161	AT2G46820	THY	THY
1162	AT2G05620	THY	THY
1163	AT4G22890	THY	THY
1164	AT5G44650	n/a	THY
1165	ATCG00020	THY	THY
1166	ATCG00680	THY	THY
1167	ATCG00280	THY	THY
1168	ATCG00270	THY	THY
1169	ATCG00580	THY	THY
1170	ATCG00570	THY	THY
1171	ATCG00430	THY-STR	THY-STR
1172	ATCG00710	THY	THY
1173	ATCG00560	THY	THY
1174	AT5G66570	THY	THY
1175	AT3G50820	THY	THY
1176	AT1G06680	THY	THY
1177	AT1G76450	nd	THY
1178	AT4G15510	THY	THY
1179	AT3G55330	THY	THY
1180	AT1G77090	THY-STR	THY-STR
1181	AT5G11450	nd	THY
1182	AT4G21280	THY	THY
1183	AT4G05180	THY	THY
1184	AT1G14150	THY	THY
1185	AT2G39470	THY	THY
1186	AT1G79040	THY	THY
1187	AT1G44575	THY	THY
1188	AT1G03600	THY	THY
1189	AT1G34000	THY	THY
1190	AT1G75690	nd	THY-ENV
1191	AT1G55480	THY-ENV	THY
1192	AT5G23120	THY-ENV	THY
1193	AT3G47070	THY	THY
1194	AT1G60950	nd	THY
1195	AT1G14345	THY	THY-ENV
1196	AT1G32220	nd	THY
1197	AT2G27680	Mix	THY-OTH
1198	AT3G02730	THY-STR	THY-ENV
1199	AT3G26060	THY-ENV	THY-ENV
1200	AT1G71500	THY	THY
1201	AT4G10000	THY	THY
1202	AT4G37200	THY	THY
1203	AT5G53490	THY	THY
1204	AT1G64430	nd	THY-ENV
1205	AT5G23060	THY	THY
1206	AT4G01900	THY	THY
1207	AT3G47860	THY	THY
1208	AT1G77490	THY	THY
1209	AT4G09010	THY	THY
1210	AT2G20890	THY-ENV	THY-ENV
1211	AT1G03160	nd	THY
1212	AT2G44920	THY	THY
1213	AT2G25830	nd	THY
1214	AT1G62150	nd	THY
1215	AT3G62910	THY-STR	THY-STR
1216	AT2G24060	THY	THY
1217	AT5G24490	THY-STR	THY-STR
1218	AT1G02475	nd	THY
1219	AT4G04850	nd	THY
1220	AT5G38660	THY-ENV	THY-ENV
1221	AT2G10940	nd	THY
1222	AT1G50450	THY	THY-ENV
1223	AT5G58250	THY	THY
1224	AT5G17170	THY	THY
1225	AT5G08050	THY	THY
1226	AT1G74730	THY	THY-ENV
1227	AT5G42765	THY	THY
1228	AT2G26340	THY	THY
1229	AT3G61870	THY-ENV	THY-ENV
1230	AT5G37360	nd	THY
1231	AT5G48790	THY-ENV	THY-ENV
1232	AT4G31530	nd	THY-ENV
1233	AT2G21960	THY	THY
1234	AT1G56500	THY-STR	THY-STR
1235	AT3G57560	THY	THY-ENV
1236	AT4G01150	THY	THY
1237	AT4G24930	THY	THY
1238	AT4G02530	THY-ENV	THY-ENV
1239	AT1G54780	THY	THY
1240	AT4G16500	nd	OTH-EXT
1241	AT1G78830	nd	OTH-EXT
1242	AT3G15356	n/a	OTH-EXT
1243	AT3G51600	n/a	OTH-EXT
1244	AT1G01980	nd	OTH-EXT
1245	AT4G12420	nd	OTH-EXT
1246	AT3G20820	nd	OTH-EXT
			
1247	AT1G21080	nd	OTH-UNK
1248	AT3G53990	nd	OTH-UNK
1249	AT2G24420	nd	OTH-UNK
1250	AT5G26000	nd	OTH-UNK
1251	AT5G48375	nd	OTH-UNK
1252	AT1G06490	nd	OTH-UNK
1253	AT1G52000	nd	OTH-UNK
1254	AT1G52040	nd	OTH-UNK
1255	AT3G26210	nd	OTH-UNK
1256	AT1G13100	nd	OTH-UNK
1257	AT4G12320	nd	OTH-UNK
1258	AT5G40370	n/a	OTH-UNK
1259	AT5G43940	nd	OTH-UNK
1260	AT3G48890	nd	OTH-UNK
1261	AT1G04340	nd	OTH-UNK
1262	AT2G41530	nd	OTH-UNK
1263	AT4G23600	nd	OTH-UNK
1264	AT4G10060	nd	OTH-UNK
1265	AT4G14240	nd	OTH-UNK
1266	AT5G51570	nd	OTH-UNK
1267	AT1G70770	nd	OTH-UNK
1268	AT2G03510	nd	OTH-UNK
1269	AT3G27570	nd	OTH-UNK
			
			
			
			
			
