3-dehydroquinate dehydratase	3-dehydroquinate dehydratase I	(EC 4.2.1.10)
3-dehydroquinate synthase	3-dehydroquinate synthase	(EC 4.2.3.4)
3-dehydrosphinganine reductase	3-dehydrosphinganine reductase	(EC 1.1.1.102)
3-demethylubiquinol 3-O-methyltransferase	3-demethylubiquinol 3-O-methyltransferase	(EC 2.1.1.64)
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	(EC 3.1.3.45)
3-deoxy-manno-octulosonate cytidylyltransferase	3-deoxy-manno-octulosonate cytidylyltransferase	(EC 2.7.7.38)
3-hydroxyacyl-[acyl-carrier-protein] dehydratase	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form"	(EC 4.2.1.59)
3-isopropylmalate dehydratase	3-isopropylmalate dehydratase large subunit	(EC 4.2.1.33)
3-isopropylmalate dehydratase	3-isopropylmalate dehydratase small subunit	(EC 4.2.1.33)
3-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase	(EC 1.1.1.85)
3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase	(EC 2.1.2.11)
3-nonaprenyl-4-hydroxy-5-methoxybenzoate carboxy-lyase	3-nonaprenyl-4-hydroxy-5-methoxybenzoate carboxy-lyase	(EC 4.1.1.-)
3-oxoacyl-[acyl-carrier protein] reductase	3-oxoacyl-[acyl-carrier protein] reductase	(EC 1.1.1.100)
3-oxoacyl-[acyl-carrier-protein] synthase	"3-oxoacyl-[acyl-carrier-protein] synthase, KASI"	(EC 2.3.1.41)
3-oxoacyl-[acyl-carrier-protein] synthase	"3-oxoacyl-[acyl-carrier-protein] synthase, KASII"	(EC 2.3.1.179)
3-oxoacyl-[acyl-carrier-protein] synthase	"3-oxoacyl-[acyl-carrier-protein] synthase, KASIII"	(EC 2.3.1.180)
4-alpha-glucanotransferase	4-alpha-glucanotransferase (amylomaltase)	(EC 2.4.1.25)
4-coumarate--CoA ligase	4-coumarate--CoA ligase	(EC 6.2.1.12)
4-coumarate--CoA ligase	4-coumarate--CoA ligase 1	(EC 6.2.1.12)
4-coumarate-CoA acyltransferase	4-coumarate-CoA acyltransferase	(EC 2.3.1.-)
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	(EC 2.7.1.148)
4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	(EC 1.17.1.2)
4-hydroxy-tetrahydrodipicolinate reductase	4-hydroxy-tetrahydrodipicolinate reductase	(EC 1.17.1.8)
4-hydroxy-tetrahydrodipicolinate synthase	4-hydroxy-tetrahydrodipicolinate synthase	(EC 4.3.3.7)
4-hydroxybenzoate polyprenyltransferase	4-hydroxybenzoate polyprenyltransferase	(EC 2.5.1.39)
4-hydroxybenzoyl-CoA thioesterase	4-hydroxybenzoyl-CoA thioesterase	(EC 3.1.2.23)
4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase	(EC 1.13.11.27)
5'-methylthioadenosine nucleosidase	5'-methylthioadenosine nucleosidase	(EC 3.2.2.16)
5'-nucleotidase	5'-nucleotidase	(EC 3.1.3.5)
"5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase"	"5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase"	(EC -.-.-.3)
"5,10-methylenetetrahydrofolate reductase"	"5,10-methylenetetrahydrofolate reductase"	(EC 1.5.1.20)
5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	
5-Enolpyruvylshikimate-3-phosphate synthase	5-Enolpyruvylshikimate-3-phosphate synthase	(EC 2.5.1.19)
5-O-(4-coumaroyl)-D-quinate/shikimate 3'-hydroxylase	5-O-(4-coumaroyl)-D-quinate/shikimate 3'-hydroxylase	(EC 1.14.13.36)
5-amino-6-(5-phosphoribosylamino)uracil reductase	5-amino-6-(5-phosphoribosylamino)uracil reductase	(EC 1.1.1.193)
5-deoxy-ribulose-1-phosphate aldolase	5-deoxy-ribulose-1-phosphate aldolase	(EC 4.1.2.-)
5-deoxyadenosine phosphorylase	5-deoxyadenosine phosphorylase	(EC 2.4.2.-)
5-deoxyribose-1-phosphate isomerase	5-deoxyribose-1-phosphate isomerase	(EC 5.3.1.-)
5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase	(EC 6.3.3.2)
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	(EC 2.1.1.14)
5-methylthioribose kinase	5-methylthioribose kinase	(EC 2.7.1.100)
"6,7-dimethyl-8-ribityllumazine synthase"	"6,7-dimethyl-8-ribityllumazine synthase"	(EC 2.5.1.78)
6-phosphofructokinase	6-phosphofructokinase	(EC 2.7.1.11)
6-phosphogluconate dehydrogenase	"6-phosphogluconate dehydrogenase, decarboxylating"	(EC 1.1.1.44)
6-phosphogluconolactonase	6-phosphogluconolactonase	"(EC 3.1.1.31), eukaryotic type"
8-amino-7-oxononanoate synthase	8-amino-7-oxononanoate synthase	(EC 2.3.1.47)
ATP phosphoribosyltransferase	ATP phosphoribosyltransferase	(EC 2.4.2.17)
ATP synthase	ATP synthase alpha chain	(EC 3.6.3.14)
ATP synthase	ATP synthase beta chain	(EC 3.6.3.14)
ATP synthase	ATP synthase delta chain	(EC 3.6.3.14)
ATP synthase	ATP synthase delta' chain	(EC 3.6.3.14)
ATP synthase	ATP synthase epsilon chain	(EC 3.6.3.14)
ATP synthase	ATP synthase gamma chain	(EC 3.6.3.14)
ATP-ADP Antiporter	ATP-ADP Antiporter (TC 2.A.12)	
ATP-citrate (pro-S-)-lyase	"ATP-citrate (pro-S-)-lyase, subunit 1"	(EC 2.3.3.8)
ATP-citrate (pro-S-)-lyase	"ATP-citrate (pro-S-)-lyase, subunit 2"	(EC 2.3.3.8)
Acetolactate synthase	Acetolactate synthase large subunit	(EC 2.2.1.6)
Acetolactate synthase	Acetolactate synthase small subunit	(EC 2.2.1.6)
Acetyl-CoA acetyltransferase	Acetyl-CoA acetyltransferase	(EC 2.3.1.9)
Acetyl-CoA carboxylase	Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase	(EC 6.4.1.2)
Acetyl-coenzyme A synthetase	Acetyl-coenzyme A synthetase	(EC 6.2.1.1)
Acetylglutamate kinase	Acetylglutamate kinase	(EC 2.7.2.8)
Acetylornithine aminotransferase	Acetylornithine aminotransferase	(EC 2.6.1.11)
Acetylornithine deacetylase	Acetylornithine deacetylase	(EC 3.5.1.16)
Aconitate hydratase	Aconitate hydratase	(EC 4.2.1.3)
Acyl-CoA thioesterase	Acyl-CoA thioesterase II	(EC 3.1.2.-)
